der Radler| rowerzysta
radeln| jeździć na rowerze
der Radweg, -e| ścieżka rowerowa
rodeln| jeżdzić na sankach
der Tennisschläger| rakieta tenisowa
abschaffen| likwidować
die Piste- n| stok narciarski
die Laufbahn | bieżnia
die Autobahn| autostrada
die U-Bahn | metro
das Steigeisen| raki
das Eisen| żelazo
die Ausrüstung| wyposarzenie
der blanke Horror| istny horror
demütigen| poniżać
der Riesenspass| mega frajda
riesig | olbrzymi
der Bürgermeister| sołtys, prezydent
der Treibstoff| paliwo
der Verleih| wypożyczalnia
ausstössen| emitować
der Stau, -s |korek uliczny
im Stau stehen| stać w korku
gefährlich| niebezpieczny
der Helm| kask
der Knieschützer| ochraniacz na kolana
schützen| chronić
der Einsteiger| poczatkujący
der Ausflug| wycieczka
um die Welt| dookoła świata
die Reise buchen| zarezerwować podróż
das Angebot| oferta
sich erschrecken| przestraszyć się 
zurücklegen| pokonywać
Abschied nehmen / sich verabschieden |  żegnać się (2) 
der Leichenwagen| karawan
beruhigen| uspokoić
tippen | dotykać 
das Schaufenster| wystawa
rechtszeitig| na czas, punktualnie
erscheinen| pojawić się, ukazać się 
hupen| trąbić
die Hupe, -n |klakson
die Brille aufsetzten| nałożyć okulary
absetzen| zdejmować
umarmen| obejmować
der Wecker| budzić
klingeln| dzwonić
aufwachen| budzić się
rennen| pędzić
die Nachricht, -en | wiadomość
die Gäste empfangen| podejmować gości
Sitten und Bräuche| zwyczaje i obyczaje 
der Ausländer| obcokrajowiec
die Haut| skóra
erkennen| rozpoznać
der Schaffner| konduktor, kontroler
fressen| żreć
die Ausrede| wymówka 
der Schwarzfahrer| gapowicz
einsteigen| wsiadać
aussteigen| wysiadać
verlassen| opuszczać
die Fahrkarte lösen| kupować bilet
die Fahrkarte entwerten| kasować bilet
beleidigen| obrażać 
sich benehmen| zachowywać się 
wegnehmen| zabierać
sich verständigen| porozumiewać się
sich unterscheiden| różnić się 
das Aussehen| wygląd
das Verhalten| zachowanie
fliehen / entkommen| uciekać (2)
der Flüchtling| uchodźca
der Einheimische, -n| tubylec
sich anpassen an + A | dostosować się do 
die Vorbereitungen treffen| przygotowywać się
die Unterkunft| nocleg
die Verpflegung| wyżywienie
